date,fajr,fajr_iqama,dhuhr,dhuhr_iqama,asr,asr_iqama,maghrib,maghrib_iqama,isha,isha_iqama
2026-09-01,04:36,05:00,13:07,13:30,17:42,18:15,19:51,19:56,21:01,21:15
2026-09-02,04:37,05:00,13:07,13:30,17:40,18:15,19:49,19:54,20:59,21:15
2026-09-03,04:39,05:00,13:06,13:30,17:38,18:15,19:47,19:52,20:57,21:15
2026-09-04,04:41,05:15,13:06,13:30,17:37,18:00,19:45,19:50,20:55,21:15
2026-09-05,04:43,05:15,13:06,13:30,17:35,18:00,19:42,19:47,20:52,21:15
2026-09-06,04:45,05:15,13:05,13:30,17:33,18:00,19:40,19:45,20:50,21:15
2026-09-07,04:47,05:15,13:05,13:30,17:31,18:00,19:38,19:43,20:48,21:15
2026-09-08,04:49,05:15,13:05,13:30,17:29,18:00,19:36,19:41,20:46,21:15
2026-09-09,04:50,05:15,13:04,13:30,17:28,18:00,19:33,19:38,20:44,21:15
2026-09-10,04:52,05:15,13:04,13:30,17:26,18:00,19:31,19:36,20:42,21:15
2026-09-11,04:54,05:30,13:04,13:30,17:24,17:45,19:29,19:34,20:40,21:00
2026-09-12,04:56,05:30,13:03,13:30,17:22,17:45,19:26,19:31,20:38,21:00
2026-09-13,04:58,05:30,13:03,13:30,17:20,17:45,19:24,19:29,20:36,21:00
2026-09-14,05:00,05:30,13:02,13:30,17:18,17:45,19:22,19:27,20:34,21:00
2026-09-15,05:02,05:30,13:02,13:30,17:16,17:45,19:20,19:25,20:32,21:00
2026-09-16,05:03,05:30,13:02,13:30,17:14,17:45,19:17,19:22,20:30,21:00
2026-09-17,05:05,05:30,13:01,13:30,17:13,17:45,19:15,19:20,20:28,21:00
2026-09-18,05:07,05:45,13:01,13:30,17:11,17:30,19:13,19:18,20:26,20:45
2026-09-19,05:09,05:45,13:01,13:30,17:09,17:30,19:10,19:15,20:24,20:45
2026-09-20,05:11,05:45,13:00,13:30,17:07,17:30,19:08,19:13,20:21,20:45
2026-09-21,05:13,05:45,13:00,13:30,17:05,17:30,19:06,19:11,20:19,20:45
2026-09-22,05:15,05:45,13:00,13:30,17:03,17:30,19:03,19:08,20:17,20:45
2026-09-23,05:16,05:45,12:59,13:30,17:01,17:30,19:01,19:06,20:15,20:45
2026-09-24,05:18,05:45,12:59,13:30,16:59,17:30,18:59,19:04,20:13,20:45
2026-09-25,05:19,06:00,12:59,13:30,16:57,17:15,18:56,19:01,20:11,20:30
2026-09-26,05:21,06:00,12:58,13:30,16:55,17:15,18:54,18:59,20:09,20:30
2026-09-27,05:22,06:00,12:58,13:30,16:53,17:15,18:52,18:57,20:07,20:30
2026-09-28,05:24,06:00,12:58,13:30,16:51,17:15,18:50,18:55,20:05,20:30
2026-09-29,05:25,06:00,12:57,13:30,16:49,17:15,18:47,18:52,20:03,20:30
2026-09-30,05:27,06:00,12:57,13:30,16:47,17:15,18:45,18:50,20:01,20:30
