day,date,weekday,fajr_start,fajr_jamaah,sunrise,dhuhr_start,dhuhr_jamaah,asr_start,asr_jamaah,maghrib_start,maghrib_jamaah,isha_start,isha_jamaah
Date,Date,Start,Jama'ah,Sunrise,,Start,Jama'ah,Start,Jama'ah,Start,Jama'ah,Start,Jama'ah
1,13,Sun,06:02,06:30,07:40,12:20,12:45,15:02,15:15,16:54,16:59,18:20,19:30
2,14,Mon,06:01,06:30,07:39,12:21,12:45,15:04,15:15,16:56,17:01,18:22,19:30
3,15,Tue,06:00,06:30,07:37,12:21,12:45,15:06,15:15,16:58,17:03,18:23,19:30
4,16,Wed,05:58,06:30,07:36,12:21,12:45,15:08,15:15,17:00,17:05,18:25,19:30
5,17,Thu,05:56,06:30,07:34,12:21,12:45,15:09,15:15,17:02,17:07,18:27,19:30
6,18,Fri,05:55,06:15,07:32,12:21,12:45,15:11,15:30,17:04,17:09,18:28,19:30
7,19,Sat,05:53,06:15,07:31,12:21,12:45,15:13,15:30,17:05,17:10,18:30,19:30
8,20,Sun,05:52,06:15,07:29,12:21,12:45,15:15,15:30,17:07,17:12,18:31,19:30
9,21,Mon,05:50,06:15,07:27,12:21,12:45,15:16,15:30,17:09,17:14,18:33,19:30
10,22,Tue,05:48,06:15,07:25,12:21,12:45,15:18,15:30,17:11,17:16,18:34,19:30
11,23,Wed,05:47,06:15,07:23,12:21,12:45,15:20,15:30,17:13,17:18,18:36,19:30
12,24,Thu,05:45,06:15,07:22,12:21,12:45,15:21,15:30,17:14,17:19,18:38,19:30
13,25,Fri,05:43,06:00,07:20,12:21,12:45,15:23,15:45,17:16,17:21,18:39,19:45
14,26,Sat,05:41,06:00,07:18,12:21,12:45,15:25,15:45,17:18,17:23,18:41,19:45
15,27,Sun,05:39,06:00,07:16,12:21,12:45,15:26,15:45,17:20,17:25,18:42,19:45
16,28,Mon,05:38,06:00,07:14,12:21,12:45,15:28,15:45,17:22,17:27,18:44,19:45
17,29,Tue,05:36,06:00,07:12,12:21,12:45,15:30,15:45,17:24,17:29,18:46,19:45
18,30/1,Wed,05:34,06:00,07:10,12:21,12:45,15:31,15:45,17:25,17:30,18:47,19:45
19,1/2,Thu,05:32,06:00,07:08,12:21,12:45,15:33,15:45,17:27,17:32,18:49,19:45
20,2/3,Fri,05:30,05:50,07:06,12:21,12:45,15:35,16:00,17:29,17:34,18:50,19:45
21,3/4,Sat,05:28,05:50,07:04,12:20,12:45,15:36,16:00,17:31,17:36,18:52,19:45
22,4/5,Sun,05:26,05:50,07:02,12:20,12:45,15:38,16:00,17:33,17:38,18:53,19:45
23,5/6,Mon,05:24,05:50,07:00,12:20,12:45,15:40,16:00,17:34,17:39,18:55,19:45
24,6/7,Tue,05:22,05:50,06:58,12:20,12:45,15:41,16:00,17:36,17:41,18:56,19:45
25,7/8,Wed,05:20,05:50,06:56,12:20,12:45,15:43,16:00,17:38,17:43,18:58,19:45
26,8/9,Thu,05:18,05:50,06:54,12:20,12:45,15:44,16:00,17:40,17:45,19:00,19:45
27,9/10,Fri,05:16,05:40,06:52,12:20,12:45,15:46,16:15,17:42,17:47,19:01,19:45
28,10/11,Sat,05:14,05:40,06:49,12:19,12:45,15:48,16:15,17:43,17:48,19:03,19:45
